# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122
# inv_ols: 23
# tip_geometry: 12
# tip_radius: 123
# sampling_rate: 23
# velocity: 2
# geometry: approach
# parameter: force
# unit: N
# value: 1.07171586320023e-12
# curve_id: 0
# file_id: file_0
# date: 2025-05-20
# instrument: unknown
# sample: unknown
# spring_constant: 0.1
# inv_ols: 2.2e-08
# tip_geometry: pyramid
# tip_radius: 1e-06
# segment_type: approach
# sampling_rate: 100000.0
# velocity: 1e-06
# no_points: 2000
# Index	Z (m)	Force (N)
370	5.3820129817977e-13	3.635911672860001e-07
371	2.1685027041997703e-12	3.6470095778600005e-07
372	1.0972564526976999e-13	3.6593766628600005e-07
373	5.8444680555977e-13	3.6711304468600006e-07
374	5.7331141901977e-13	3.683325482859999e-07
375	3.1553129793977e-13	3.693455525859999e-07
376	1.69078378929977e-12	3.70587893386e-07
377	9.6891522586977e-13	3.7175193518599997e-07
378	-4.3344363704023e-13	3.7288267528600004e-07
379	-1.9060725581023e-13	3.740031868859999e-07
380	1.29208972699977e-12	3.75044670986e-07
381	8.5692115788977e-13	3.761587498859999e-07
382	-8.8046082220023e-13	3.773010009859999e-07
383	3.3773026122977e-13	3.784353728859999e-07
384	8.4546567005977e-13	3.7965457898600006e-07
385	5.1467081091977e-13	3.80707717586e-07
386	3.1537063873976997e-13	3.8198015928600007e-07
387	-8.9275733660023e-13	3.8300768048600007e-07
388	-8.5978812132023e-13	3.841512343859999e-07
389	3.7705160049976997e-13	3.851978071859999e-07
390	1.14789079209977e-12	3.8640109078599994e-07
391	4.7854074757977e-13	3.8758641038600005e-07
392	-1.0533629838002301e-12	3.887125543859999e-07
393	-1.6181677051002301e-12	3.898482188859999e-07
394	-6.200200022023e-14	3.9091653108599997e-07
395	9.9489089746977e-13	3.919912758859999e-07
396	8.6619192400977e-13	3.9316154508599994e-07
397	3.6009231793977e-13	3.9427233078599997e-07
398	-2.5755467484023e-13	3.95512609586e-07
399	2.8380962568977e-13	3.9666607398599994e-07
400	-1.8074010326023e-13	3.9776047558599996e-07
401	1.28586905149977e-12	3.98843663786e-07
402	1.7305944939977e-13	4.000612386859999e-07
403	8.0134159439977e-13	4.011904808859999e-07
404	-8.562133689123e-14	4.023046419860001e-07
405	-9.951714060023001e-14	4.0341683318599996e-07
406	7.5725159795977e-13	4.0444841708599997e-07
407	9.0258366710977e-13	4.0569368178600003e-07
408	6.7650817866977e-13	4.067579312860001e-07
409	6.377248042897699e-13	4.0789468338599993e-07
410	2.0700479103977e-13	4.0900417638600004e-07
411	-1.8430138220022999e-13	4.1005856678599993e-07
412	6.8637654832977e-13	4.11281425186e-07
413	8.2177208936977e-13	4.123889278859999e-07
414	2.8488798971977e-13	4.135053664859999e-07
415	3.0678754267977e-13	4.1469089128599995e-07
416	1.0957301050997699e-12	4.1578900678600003e-07
417	-1.23952804930023e-12	4.1689882818599993e-07
418	-1.09569790020023e-12	4.181147204860001e-07
419	1.57640052419977e-12	4.19292407186e-07
420	2.06509051509977e-12	4.20279681086e-07
421	1.4236875888769996e-14	4.214567214859999e-07
422	-5.1691217716023e-13	4.226519412860001e-07
423	3.0248504060977e-13	4.2383062318600006e-07
424	1.17914144079977e-12	4.248029184859999e-07
425	1.7073971311769995e-14	4.2599316258600005e-07
426	-1.00129114620023e-12	4.2718260638600003e-07
427	-6.273714629302301e-13	4.28305764886e-07
428	-4.2172646945023004e-13	4.2953875948599994e-07
429	1.8653899972977001e-13	4.306817286860001e-07
430	1.42094205699977e-12	4.31796843886e-07
431	1.29752779749977e-12	4.3285059808599996e-07
432	6.3147735220977e-13	4.33980240386e-07
433	1.24734248839977e-12	4.3513578748599996e-07
434	9.8331978370977e-13	4.362792388859999e-07
435	3.2255892083976996e-13	4.373409953859999e-07
436	-7.694452296123001e-14	4.383921847859999e-07
437	-1.32184763270023e-12	4.3952438168599993e-07
438	1.22115260449977e-12	4.40546301286e-07
439	8.2789661281977e-13	4.41741880186e-07
440	1.4406289797977e-13	4.427954497859999e-07
441	1.9659029327997703e-12	4.440360670860001e-07
442	1.55979907349977e-12	4.4520816238600006e-07
443	-8.4335341540023e-13	4.46402222986e-07
444	4.0313194400977e-13	4.475733846859999e-07
445	1.50610968989977e-12	4.48661292186e-07
446	3.6070452686977e-13	4.49911183886e-07
447	-3.3820194203023004e-13	4.5105361958600006e-07
448	-2.2781446606023e-13	4.52062797086e-07
449	-8.482450012002301e-13	4.531931473859999e-07
450	8.3790738495977e-13	4.54411358286e-07
451	1.28155316109977e-12	4.5549897858600007e-07
452	1.4598350568977e-13	4.566394546859999e-07
453	3.3337664031976997e-13	4.577166103859999e-07
454	1.48977843869977e-12	4.5885096178600004e-07
455	5.4969208234977e-13	4.5998392818599994e-07
456	-4.0588206438023e-13	4.6110474748600006e-07
457	-1.30520966850023e-12	4.62200923986e-07
458	2.9159064286976996e-13	4.633694798860001e-07
459	1.03169280839977e-12	4.6440805028599997e-07
460	3.2868101005977e-13	4.6540872288599996e-07
461	-4.3116884881023e-13	4.66684088486e-07
462	2.0024858481977e-13	4.677108196860001e-07
463	1.66256984289977e-12	4.688632478859999e-07
464	1.28743304449977e-12	4.70109959286e-07
465	-2.1369593028023e-13	4.71313058286e-07
466	1.19514772219977e-12	4.7245584278600003e-07
467	1.01506823249977e-12	4.7367221728599996e-07
468	-2.3043248076023004e-13	4.74919144086e-07
469	6.9681209365977e-13	4.759813109860001e-07
470	5.4011703742977e-13	4.77109055286e-07
471	4.640205637997699e-13	4.78226919986e-07
472	-2.9568445837023e-13	4.793737363859999e-07
473	4.7669316677977e-13	4.80484778586e-07
474	1.79368965839977e-12	4.817810320859999e-07
475	2.4626892588977e-13	4.828085122860001e-07
476	-2.7369240466023004e-13	4.838874325859999e-07
477	6.925753158097699e-13	4.85111368286e-07
478	1.54943777219977e-12	4.862015224859999e-07
