file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122
inv_ols,23
tip_geometry,12
tip_radius,123
sampling_rate,23
velocity,2
geometry,approach
parameter,force
unit,N
value,1.07171586320023e-12
curve_id,0
file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122.0
inv_ols,23.0
tip_geometry,12
tip_radius,123.0
segment_type,approach
sampling_rate,23.0
velocity,2.0
no_points,2000
index,Z (m),Force (N)
240,-2.0136887485e-06,9.0513839180977e-13
241,-2.0125182843e-06,-4.6562537881023e-13
242,-2.0113882316e-06,-8.779388744123e-14
243,-2.0102275241e-06,1.74894241979977e-12
244,-2.0091777607e-06,4.2730750229977e-13
245,-2.0080596396e-06,-5.4981810245023e-13
246,-2.006935763e-06,-1.17111765780023e-12
247,-2.0057509666e-06,-7.005443407622999e-14
248,-2.0045798972e-06,1.32963894659977e-12
249,-2.0034302389e-06,8.8155070013977e-13
250,-2.0023497387e-06,-9.537164638722999e-14
251,-2.001332405e-06,6.782109227697699e-13
252,-1.9999936266e-06,8.1479436818977e-13
253,-1.9989417396e-06,1.0086139559977e-13
254,-1.9978523137e-06,4.555628305997699e-13
255,-1.9966057768e-06,7.9362386720977e-13
256,-1.995543138e-06,5.3570864634977e-13
257,-1.9942549483e-06,1.9249360538997703e-12
258,-1.9932400769e-06,9.3756842507977e-13
259,-1.9920675506e-06,-4.9327945222023e-13
260,-1.9908759523e-06,-1.04677595660023e-12
261,-1.9897722865e-06,-5.5882353747023e-13
262,-1.9886594489e-06,2.1938772060977004e-13
263,-1.987562185e-06,1.5289330331997699e-12
264,-1.9863203776e-06,1.42370490839977e-12
265,-1.9851967164e-06,-1.02774757830023e-12
266,-1.9841653788e-06,2.5684930791977e-13
267,-1.9830582454e-06,2.00541535919977e-12
268,-1.9819300188e-06,1.6644077719977e-13
269,-1.980695988e-06,-1.09077832070023e-12
270,-1.9796328157e-06,-1.6422141640022998e-13
271,-1.9785978976e-06,1.4146192289977003e-13
272,-1.9774654032e-06,2.8105988259700108e-15
273,-1.9762481053e-06,8.4702601168977e-13
274,-1.9751667638e-06,9.7975241918977e-13
275,-1.9739749705e-06,1.40504166459977e-12
276,-1.9728300111e-06,-3.531431624622999e-14
277,-1.9717343681e-06,-1.32474071540023e-12
278,-1.9705875311e-06,-6.698121831323e-14
279,-1.9694234791e-06,4.3993628913976997e-13
280,-1.9682472697e-06,5.9159857419977e-13
281,-1.9671376946e-06,5.269125551297699e-13
282,-1.965976987e-06,8.5641848932977e-13
283,-1.9648954301e-06,-9.034861214822999e-14
284,-1.9637360152e-06,-1.07020420620023e-12
285,-1.9625865519e-06,9.9127971680977e-13
286,-1.9614781874e-06,6.507649760497699e-13
287,-1.9602937193e-06,-1.12385951060023e-12
288,-1.9591226293e-06,-4.1222323433023004e-13
289,-1.9580375842e-06,-1.30574154780023e-12
290,-1.956900709e-06,1.3668718014977e-13
291,-1.9558454775e-06,9.1048517867977e-13
292,-1.9547497216e-06,4.5949654676977e-13
293,-1.9535334086e-06,1.5843824505977e-13
294,-1.9524537497e-06,6.621742986977001e-14
295,-1.951302573e-06,-1.05429407690023e-12
296,-1.9501005513e-06,-9.5073461694023e-13
297,-1.9489305078e-06,-3.6393297350023e-13
298,-1.9477756378e-06,5.9884771205977e-13
299,-1.9466903362e-06,2.2683281399977e-13
300,-1.9456014438e-06,-2.2311761868022996e-13
301,-1.9444278711e-06,1.60656550619977e-12
302,-1.9432641063e-06,6.6322945233977e-13
303,-1.9421710897e-06,-3.5484477464023e-13
304,-1.9410932979e-06,7.7577487347977e-13
305,-1.939964466e-06,1.4342767705997699e-12
306,-1.9388043535e-06,7.597747628677e-14
307,-1.9376516175e-06,3.4016205729976996e-13
308,-1.9364298568e-06,6.1942182660977e-13
309,-1.9353074473e-06,1.77098680939977e-12
310,-1.934173455e-06,5.5942170088977e-13
311,-1.9329793329e-06,-7.7845561829023e-13
312,-1.9318803043e-06,1.901283575077001e-14
313,-1.9308290021e-06,1.1200651905977e-13
314,-1.929667166e-06,-8.918493686902301e-13
315,-1.928519375e-06,1.01226521629977e-12
316,-1.9274101692e-06,1.58800936859977e-12
317,-1.926222613e-06,-7.0986022535023e-13
318,-1.925059751e-06,4.839034421477001e-14
319,-1.9239725925e-06,6.848393318897699e-13
320,-1.9228153218e-06,3.0852680022977e-13
321,-1.9217026792e-06,1.9719240866977003e-13
322,-1.9205475835e-06,1.63153218929977e-12
323,-1.9194394344e-06,4.0994048617976996e-13
324,-1.9183427244e-06,1.2730200519977003e-13
325,-1.9171432983e-06,1.60798344539977e-12
326,-1.915984499e-06,1.29294779319977e-12
327,-1.9148809563e-06,1.5479663651977e-13
328,-1.913714401e-06,3.1646847660977e-13
329,-1.9125900524e-06,9.5942051054977e-13
330,-1.9114361468e-06,1.71682153369977e-12
331,-1.9103239556e-06,5.546992940897699e-13
332,-1.9092092405e-06,8.3288435071977e-13
333,-1.9080043154e-06,2.7072320355976996e-13
334,-1.9068500917e-06,1.21113331259977e-12
335,-1.9056962579e-06,9.4280688869977e-13
336,-1.9045257528e-06,1.19578427339977e-12
337,-1.9033472761e-06,6.310075457597699e-13
338,-1.9022451082e-06,2.1567186804977e-13
339,-1.9011588832e-06,1.6161491560977003e-13
340,-1.9000804554e-06,1.33822691119977e-12
341,-1.8988274961e-06,1.13491269319977e-12
342,-1.8978374625e-06,8.4045115562977e-13
343,-1.8965566389e-06,1.41043348479977e-12
344,-1.8954127464e-06,1.06182492819977e-12
345,-1.8943428748e-06,-3.607501321722999e-14
346,-1.893271967e-06,3.7871539690977e-13
347,-1.8922243274e-06,2.7944139939976997e-13
348,-1.8911488439e-06,1.7602799325977004e-13
349,-1.8900618598e-06,9.8282320072977e-13
350,-1.8888691432e-06,1.22493052999977e-12
351,-1.8877271384e-06,2.6621257479977e-13
352,-1.8865907659e-06,9.6426828020977e-13
353,-1.8855712573e-06,1.6755394219997699e-12
354,-1.8844154127e-06,-9.766469133722999e-14
355,-1.8833324091e-06,-6.3131126468023e-13
356,-1.8821318237e-06,1.45102792649977e-12
357,-1.880905949e-06,1.55220427499977e-12
358,-1.8797464008e-06,2.5156702815976997e-13
359,-1.8786371129e-06,-1.2117083630022996e-13
360,-1.8774135568e-06,1.3491018350997699e-12
361,-1.876378413e-06,1.8501882289977003e-13
362,-1.8751601405e-06,4.2207147290976996e-13
363,-1.8740392801e-06,3.6339191712977e-13
364,-1.8729949234e-06,-4.780678618322999e-14
365,-1.8719840428e-06,7.9031818244977e-13
366,-1.8707322019e-06,-8.226201387129989e-15
367,-1.8696007641e-06,-1.2655283431229989e-14
368,-1.8684098122e-06,1.03365479799977e-12
369,-1.8672665557e-06,-2.7540245145023004e-13
370,-1.8661333944e-06,5.3820129817977e-13
371,-1.8650236039e-06,2.1685027041997703e-12
372,-1.8637868954e-06,1.0972564526977e-13
373,-1.862611517e-06,5.8444680555977e-13
374,-1.8613920134e-06,5.7331141901977e-13
375,-1.8603790091e-06,3.1553129793977e-13
376,-1.8591366683e-06,1.69078378929977e-12
377,-1.8579726265e-06,9.6891522586977e-13
378,-1.8568418864e-06,-4.3344363704023e-13
379,-1.8557213748e-06,-1.9060725581022998e-13
380,-1.8546798907e-06,1.29208972699977e-12
381,-1.8535658118e-06,8.5692115788977e-13
382,-1.8524235607e-06,-8.8046082220023e-13
383,-1.8512891888e-06,3.3773026122977e-13
384,-1.8500699827e-06,8.4546567005977e-13
385,-1.8490168441e-06,5.1467081091977e-13
386,-1.8477444024e-06,3.1537063873976997e-13
387,-1.8467168812e-06,-8.9275733660023e-13
388,-1.8455733273e-06,-8.5978812132023e-13
389,-1.8445267545e-06,3.7705160049976997e-13
390,-1.8433234709e-06,1.14789079209977e-12
391,-1.8421381513e-06,4.7854074757977e-13
392,-1.8410120073e-06,-1.0533629838002301e-12
393,-1.8398763428e-06,-1.6181677051002301e-12
394,-1.8388080306e-06,-6.200200022022999e-14
395,-1.8377332858e-06,9.9489089746977e-13
396,-1.8365630166e-06,8.6619192400977e-13
397,-1.8354522309e-06,3.6009231793977e-13
398,-1.8342119521e-06,-2.5755467484023e-13
399,-1.8330584877e-06,2.8380962568977e-13
400,-1.8319640861e-06,-1.8074010326023e-13
401,-1.8308808979e-06,1.28586905149977e-12
402,-1.829663323e-06,1.7305944939977e-13
403,-1.8285340808e-06,8.0134159439977e-13
404,-1.8274199197e-06,-8.562133689122999e-14
405,-1.8263077285e-06,-9.951714060023e-14
406,-1.8252761446e-06,7.5725159795977e-13
407,-1.8240308799e-06,9.0258366710977e-13
408,-1.8229666304e-06,6.7650817866977e-13
409,-1.8218298783e-06,6.377248042897699e-13
410,-1.8207203853e-06,2.0700479103977e-13
411,-1.8196659949e-06,-1.8430138220022996e-13
412,-1.8184431365e-06,6.8637654832977e-13
413,-1.8173356338e-06,8.2177208936977e-13
414,-1.8162191952e-06,2.8488798971977e-13
415,-1.8150336704e-06,3.0678754267977e-13
416,-1.8139355549e-06,1.0957301050997699e-12
417,-1.8128257335e-06,-1.23952804930023e-12
418,-1.8116098412e-06,-1.09569790020023e-12
419,-1.8104321545e-06,1.57640052419977e-12
420,-1.8094448806e-06,2.06509051509977e-12
421,-1.8082678402e-06,1.4236875888770008e-14
422,-1.8070726204e-06,-5.1691217716023e-13
