# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122
# inv_ols: 23
# tip_geometry: 12
# tip_radius: 123
# sampling_rate: 23
# velocity: 2
# geometry: approach
# parameter: force
# unit: N
# value: 1.07171586320023e-12
# curve_id: 0
# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122.0
# inv_ols: 23.0
# tip_geometry: 12
# tip_radius: 123.0
# segment_type: approach
# sampling_rate: 23.0
# velocity: 2.0
# no_points: 2000
# Index	Z (m)	Force (N)
97	5.307988890177e-14	5.3756215685999604e-08
98	2.3780275807769997e-14	5.496142808599984e-08
99	-2.4782749053023004e-13	5.6029791585999564e-08
100	-3.5639172800023e-13	5.7272789085999826e-08
101	2.6452078473977e-13	5.8299438185999765e-08
102	1.4779335592977e-13	5.945046088599974e-08
103	1.26496996719977e-12	6.059819038599958e-08
104	-5.722482324223001e-14	6.181782738599965e-08
105	-6.5969195583023e-13	6.30691246859998e-08
106	-3.2682800092023004e-13	6.416918938599979e-08
107	-6.6283454716023e-13	6.519957298599967e-08
108	-3.2819360413023003e-13	6.64061087859996e-08
109	4.832388120697699e-13	6.768914838599993e-08
110	1.6959067120977e-13	6.864076088599997e-08
111	3.506171616677e-14	6.965696608599958e-08
112	7.5927931179977e-13	7.079751398599972e-08
113	5.5025195531977e-13	7.189120778599965e-08
114	-7.6177992357023e-13	7.307152078599979e-08
115	1.0524105424997699e-12	7.416521458599972e-08
116	8.9707865526977e-13	7.534005938599978e-08
117	-1.08881876540023e-12	7.651563268599969e-08
118	-1.02851436080023e-12	7.767206208599989e-08
119	8.359296580276999e-14	7.883250288599979e-08
120	-3.0299323487023e-13	7.986250678599958e-08
121	-7.4536955995023e-13	8.10579010859997e-08
122	6.3506419056977e-13	8.220077788599985e-08
123	4.4396250606977e-13	8.326267798599986e-08
124	-2.5220910508023003e-13	8.450993308599981e-08
125	3.5775667396977e-13	8.558415468599969e-08
126	1.4710690297977e-13	8.666350588599987e-08
127	-4.4374286547023e-13	8.792242578599995e-08
128	4.3583947952976997e-13	8.902218268599982e-08
129	5.860643515997699e-13	9.001495558599997e-08
130	-8.3191861853023e-13	9.118346018599976e-08
131	-3.0248691497023004e-13	9.224519618599974e-08
